id;activity_id;company_id;create_date;deadline;name;state;type;account_id;activity_type_id;object_type_id;priority_id;opportunity_id;order_id;contract_id;priority_name;responsible_id;start_date;closed_on;duration;duration_unit_id;conversion;text_str
1;drive reboot sticky;navigate solid;2024-12-04T20:28:31;2024-12-04;Massachusetts override Rubber;Soap;Dakota withdrawal PCI;eyeballs;Square Developer;THX Avon pink;Solutions;Crescent Avon revolutionary;homogeneous;Hawaii;Chief;Frozen;2024-12-05T01:03:27;2024-12-04T10:45:22;60077;Sleek even-keeled;41968;copy
2;Frozen Licensed Director;initiatives;2024-12-04T03:04:41;2024-12-04;Small;matrix firewall;Bulgarian convergence;override;Facilitator Cayman navigating;magenta;silver Unbranded;models Global;Integration;Market Games;Tactics Granite project;rich Zloty Engineer;2024-12-04T08:45:49;2024-12-04T23:32:26;97782;Avon Anguilla Markets;33264;out-of-the-box Lane Developer
3;cohesive calculating;Incredible Solutions Identity;2024-12-05T00:03:13;2024-12-04;pixel;Networked Village efficient;SDD monitor;Plastic;Personal Granite Sleek;Consultant well-modulated;Frozen;Denar;Licensed bottom-line Product;web Fresh;Connecticut Sudan International;Nepal;2024-12-05T00:20:34;2024-12-04T23:13:27;38588;Corporate Administrator;80644;index
4;RSS;Berkshire;2024-12-04T09:56:01;2024-12-05;RSS;withdrawal Investor;Metical;integrated one-to-one;orchid Chile;installation Republic;digital;Chair;navigate;mesh Kids Jamaica;Cotton Metal;panel Facilitator;2024-12-05T01:19:16;2024-12-05T00:05:42;98749;Creek Analyst;4370;Dynamic
5;orchestrate microchip;Fish algorithm;2024-12-05T01:29:19;2024-12-04;grid-enabled indexing;lavender American Integration;Franc JBOD;management streamline Tools;programming Colon;Operations Agent;Pants Borders logistical;Ball CSS;Ergonomic Soft;Kansas global;repurpose payment;SMTP;2024-12-04T08:13:46;2024-12-04T19:28:06;513;Bike;98119;Dollar Applications
6;Maryland killer salmon;Money EXE;2024-12-04T10:48:59;2024-12-04;Investor Directives e-commerce;States compress;Innovative asynchronous end-to-end;synthesize;calculating redundant;green Loan Customer;Agent;Mill;bandwidth CSS;Salad Outdoors Kuna;Australian withdrawal online;redundant;2024-12-04T14:41:20;2024-12-04T05:21:41;75263;attitude-oriented;5069;Awesome
7;Branding synthesizing redundant;aggregate invoice Home;2024-12-04T04:59:40;2024-12-05;feed;Small Customer;explicit Branding Rubber;Investment;PCI haptic navigating;Open-source synthesizing AI;Practical;deposit Borders;hack;Synchronised Intelligent;firewall evolve;Global Account;2024-12-04T08:08:22;2024-12-05T01:55:17;88644;best-of-breed;76695;Electronics Cliffs matrix
8;national invoice cyan;Sleek;2024-12-04T04:02:04;2024-12-04;Plastic SMS;Account Incredible Computers;Refined Outdoors ivory;drive technologies;bluetooth;interface Metal deposit;uniform;Baby Multi-tiered Cotton;Baby Inverse;AGP Qatar Light;compress withdrawal Buckinghamshire;engine violet;2024-12-04T07:59:40;2024-12-04T22:52:03;42749;primary;12779;Gorgeous
9;Table;responsive;2024-12-04T02:30:17;2024-12-04;models;extend Progressive;multi-tasking Granite;Rustic;Handmade harness;virtual;infomediaries leading-edge;Money capacitor;monitoring green;West Kenya;Rubber Card Principal;Krona Agent SQL;2024-12-04T08:38:28;2024-12-04T08:39:53;4534;Ameliorated Industrial;48106;Buckinghamshire Cloned Grocery
10;application Tools Dynamic;Identity envisioneer;2024-12-04T22:27:21;2024-12-05;Licensed;Well;Tools Metal Comoros;Maine Grocery;Berkshire;Cambridgeshire;Garden virtual envisioneer;matrix Ball;Communications Dynamic;copying Avon;Music Steel;optical Berkshire;2024-12-04T06:17:13;2024-12-05T00:26:18;64183;Concrete Berkshire bus;79756;withdrawal calculating
