id;product_id;product_code;product_family_id;product_price_id;product_name;product_family_code;product_family_name
1;Steel;Assistant;cross-platform Principal;wireless Computer;reboot magenta THX;THX;Centers Metal navigating
2;partnerships Infrastructure;transmitting New Bedfordshire;Malagasy intranet;neutral;Bike;Computer CFP orange;Village
3;distributed indigo JSON;Personal Steel;solutions;Prairie;invoice;Bike Shoes Center;tangible
4;Cheese Renminbi;Consultant online;project hacking efficient;mobile metrics;lavender application grey;up;systems Gorgeous
5;Brand;Plastic Cambridgeshire;Automotive;Operations Chicken;Usability multi-byte;Kids IB;Algeria Rustic
6;Taka;wireless Practical Solutions;International Square;Frozen Sausages;invoice;CFA;Colombian B2C
7;bypassing Gateway Virtual;index Account Concrete;Soft;deposit clear-thinking focus;Loan;Small Congo Engineer;Account portals Berkshire
8;Wooden Concrete;Rwanda Account;grid-enabled Tasty Keyboard;Producer;back-end application;USB Future;Venezuela JBOD
9;mint;withdrawal Facilitator Nebraska;circuit Regional JBOD;Directives;Guinea-Bissau SCSI;Serbia;content Cordoba
10;Functionality multi-tasking;primary Plastic;Infrastructure Buckinghamshire Avon;Kansas Kids;Intranet;aggregate indexing;Computer PCI
