id;config_name;config_value;config_desc;created_date;created_by;last_modified_date;last_modified_by
1;Associate;circuit Strategist Central;state Regional synergies;2024-12-04T12:26:53;Krone panel;2024-12-04T05:16:00;out-of-the-box overriding
2;Awesome Legacy;North District;Ball teal Portugal;2024-12-05T02:18:44;parsing;2024-12-04T17:22:52;intuitive
3;fresh-thinking Planner;Fantastic;needs-based partnerships;2024-12-04T11:16:36;Computers enable;2024-12-04T08:58:01;Arizona
4;infrastructure Croatian Vermont;Ukraine;parsing Exclusive Plastic;2024-12-04T03:39:32;best-of-breed;2024-12-04T08:50:28;Berkshire Crest
5;Gambia program Bedfordshire;intermediate;backing Bedfordshire;2024-12-04T02:41:35;Garden Operations South;2024-12-04T07:26:48;Money El Gloves
6;B2C;Product feed Parkways;SAS Mexico;2024-12-04T04:32:22;Beauty Frozen;2024-12-05T01:09:43;synergistic
7;invoice Awesome;Handcrafted multi-byte;Bacon up Mills;2024-12-05T01:26:06;Representative;2024-12-04T22:31:45;models Pants
8;National West;concept New;Senior;2024-12-04T19:16:12;frictionless Account markets;2024-12-04T12:56:10;Lempira SDD
9;Tuna;compressing Buckinghamshire;firewall revolutionary;2024-12-04T03:06:11;copying lime Salvador;2024-12-04T05:59:30;Florida Cross-group transmitter
10;Solomon;indigo generate Tuna;Buckinghamshire Bacon;2024-12-04T02:38:10;experiences;2024-12-04T20:12:24;wireless engineer relationships
