id;lead_id;employee_id;lead_code;lead_name;lead_potential_level_id;lead_source_id;lead_potential_level_name;lead_source_name
1;solution-oriented;systems Account tertiary;installation Tools;Kwacha technologies Mexico;Gloves Kids Plastic;Saint;Chair program;Dobra markets
2;Inverse solution Colorado;Montenegro Strategist;Keyboard;Facilitator compressing;Rustic;Division;Associate Concrete matrix;port TCP Man
3;Security;Soft Loan Computer;Product Virtual core;GB Cross-platform framework;Washington;Outdoors;Washington;overriding
4;Unit Reduced;salmon IB firmware;azure Applications;Visionary;Senior New out-of-the-box;groupware programming;Tuna Operations Buckinghamshire;withdrawal Lesotho
5;yellow Assistant solid;parse Kids GB;Account;Account;HTTP Montana;Dynamic Quality-focused;withdrawal;backing B2B
6;content;navigate withdrawal Internal;Unions Keyboard;Egypt;installation Vermont Metal;Versatile Rubber;Dale payment;violet Dynamic payment
7;white Costa invoice;Awesome Austria copy;Investor;envisioneer;Buckinghamshire Frozen Consultant;maximize;Fish Concrete;New Persistent
8;generate azure Cambridgeshire;Plastic Radial;Fantastic Electronics;up;Wisconsin Granite facilitate;Direct;incremental Wooden;monetize synthesize Connecticut
9;framework;application Devolved;deposit Soft Ball;reinvent;Uzbekistan;program;Health multi-state;Thailand North
10;Borders Plastic;synergize Avon PNG;deposit blue;Business-focused Incredible;invoice;Implementation;Product bluetooth;port front-end
