id;company_code;company_name;description;location;phone_number;created_date;created_by;last_modified_date;last_modified_by
1;Isle;benchmark;Loan payment;transparent Rue;Generic Customizable International;2024-12-04T21:05:35;Account;2024-12-05T00:22:30;Executive Analyst
2;optical Integrated;Steel Corporate enable;Automotive;Martinique Quality e-markets;Central standardization;2024-12-04T09:24:45;SCSI;2024-12-04T10:15:29;withdrawal
3;deposit;Franc tan Computer;Turkmenistan;Graphic Account;viral;2024-12-04T15:42:52;Grass-roots;2024-12-04T05:24:05;Caribbean
4;Investment Extensions application;Mouse magnetic SCSI;Account definition Computer;quantify;interactive local;2024-12-04T17:30:28;AI;2024-12-04T10:00:32;Sausages firewall Seamless
5;monetize Card;Glen Arab AGP;bricks-and-clicks unleash;optical Account;bypassing Central mobile;2024-12-04T17:53:19;harness leverage;2024-12-04T03:11:36;Coordinator
6;Assimilated blue;Buckinghamshire navigate;Avon;Awesome Refined Personal;network Soap invoice;2024-12-04T06:21:24;paradigms program Keyboard;2024-12-05T01:45:18;Tunisian green streamline
7;Tasty responsive;Generic content-based;generate Account;copying Uzbekistan purple;Toys;2024-12-04T20:58:59;web;2024-12-04T08:45:22;Fantastic Object-based
8;Operations;Bedfordshire killer input;GB;Music Gorgeous;B2B drive digital;2024-12-04T15:06:55;Missouri connecting Up-sized;2024-12-04T18:21:09;Ergonomic
9;incentivize;Small Mandatory Intranet;content-based transmitting;Music Account Bedfordshire;Manager copying;2024-12-04T04:56:01;withdrawal synthesizing vortals;2024-12-04T15:06:24;payment
10;Spring Gateway pixel;Data compelling;Savings Avon;Delaware Cyprus Idaho;tolerance non-volatile;2024-12-04T03:54:46;Granite Wyoming Tuvalu;2024-12-04T11:57:42;transmitter Product
